account_id,customer_name,device_id,ip_address,shipping_address,payment_method_fingerprint,account_age_days,refund_probability,account_type,household_id,is_fraud_ring,ring_id,scenario_type,created_date
ACC0025,Elijah Koshy,DEV2876,206.53.60.151,Parbhani,PMF9317,359,0.075,household,HOUSE_20e05c,0,,household,2025-09-10
ACC0026,Libni Babu,DEV9797,206.53.60.151,Parbhani,PMF9317,730,0.057,household,HOUSE_20e05c,0,,household,2024-09-04
ACC0027,Oeshi Natt,DEV9689,195.59.50.17,Ajmer,PMF6310,90,0.049,household,HOUSE_4cd107,0,,household,2026-06-06
ACC0028,Pratyush Khare,DEV9837,195.59.50.17,Ajmer,PMF6038,204,0.034,household,HOUSE_4cd107,0,,household,2026-02-12
ACC0029,Dev Sandhu,DEV2403,214.253.119.235,Rohtak,PMF3103,160,0.06,household,HOUSE_6e64e9,0,,household,2026-03-28
ACC0030,Aarini Balakrishnan,DEV2403,214.253.119.235,Rohtak,PMF5342,652,0.052,household,HOUSE_6e64e9,0,,household,2024-11-21
ACC0031,Wahab Vaidya,DEV9835,131.211.219.168,South Dumdum,PMF7118,409,0.046,household,HOUSE_08fb46,0,,household,2025-07-22
ACC0032,Raagini Bahri,DEV9835,131.211.219.168,South Dumdum,PMF2982,619,0.035,household,HOUSE_08fb46,0,,household,2024-12-24
ACC0033,Shaurya D’Alia,DEV9835,131.211.219.168,South Dumdum,PMF1344,155,0.055,household,HOUSE_08fb46,0,,household,2026-04-02
ACC0034,Chanchal Ganesh,DEV4295,131.211.219.168,South Dumdum,PMF4608,325,0.02,household,HOUSE_08fb46,0,,household,2025-10-14
ACC0035,Jeevika Modi,DEV2104,204.26.50.7,Darbhanga,PMF2160,122,0.051,household,HOUSE_6981d7,0,,household,2026-05-05
ACC0036,Turvi Baria,DEV2104,204.26.50.7,Darbhanga,PMF4510,375,0.052,household,HOUSE_6981d7,0,,household,2025-08-25
ACC0037,Azaan Bhatnagar,DEV2104,204.26.50.7,Darbhanga,PMF4981,674,0.067,household,HOUSE_6981d7,0,,household,2024-10-30
ACC0038,Girik Ramanathan,DEV4750,204.26.50.7,Darbhanga,PMF2545,506,0.026,household,HOUSE_6981d7,0,,household,2025-04-16
ACC0039,Unni Palla,DEV8651,166.18.103.138,Nandyal,PMF2612,145,0.024,household,HOUSE_650c04,0,,household,2026-04-12
ACC0040,Nathaniel Edwin,DEV7939,166.18.103.138,Nandyal,PMF5073,437,0.031,household,HOUSE_650c04,0,,household,2025-06-24
ACC0041,Anthony Sharma,DEV7735,166.18.103.138,Nandyal,PMF3296,639,0.045,household,HOUSE_650c04,0,,household,2024-12-04
ACC0042,Bhanumati Patla,DEV5092,197.37.62.199,Durg,PMF1828,653,0.059,household,HOUSE_462b7d,0,,household,2024-11-20
ACC0043,Indali Basu,DEV5092,197.37.62.199,Durg,PMF2528,643,0.076,household,HOUSE_462b7d,0,,household,2024-11-30
ACC0044,Ishita Anand,DEV5092,197.37.62.199,Durg,PMF7658,332,0.049,household,HOUSE_462b7d,0,,household,2025-10-07
ACC0045,Eesha Andra,DEV3697,5.210.36.189,Kishanganj,PMF5345,92,0.076,household,HOUSE_e60f75,0,,household,2026-06-04
ACC0046,Vyanjana Patel,DEV3697,5.210.36.189,Kishanganj,PMF7930,555,0.062,household,HOUSE_e60f75,0,,household,2025-02-26
ACC0047,Faqid Misra,DEV3536,218.217.227.224,Eluru,PMF9883,312,0.024,household,HOUSE_06b299,0,,household,2025-10-27
ACC0048,Unni Garde,DEV3536,218.217.227.224,Eluru,PMF1821,411,0.055,household,HOUSE_06b299,0,,household,2025-07-20
ACC0049,Lipika Parmar,DEV5861,218.217.227.224,Eluru,PMF3579,604,0.023,household,HOUSE_06b299,0,,household,2025-01-08
ACC0050,Jagvi Dayal,DEV3536,218.217.227.224,Eluru,PMF4044,610,0.024,household,HOUSE_06b299,0,,household,2025-01-02
ACC0051,Niharika Kadakia,DEV7615,223.213.15.135,Ranchi,PMF1651,673,0.057,household,HOUSE_0e2b1d,0,,household,2024-10-31
ACC0052,Atharv Gulati,DEV2964,223.213.15.135,Ranchi,PMF5272,519,0.032,household,HOUSE_0e2b1d,0,,household,2025-04-03
ACC0053,Rehaan Soman,DEV7484,213.243.121.163,Nellore,PMF5915,224,0.047,household,HOUSE_6475c7,0,,household,2026-01-23
ACC0054,Kiaan Srinivas,DEV4910,213.243.121.163,Nellore,PMF8508,164,0.057,household,HOUSE_6475c7,0,,household,2026-03-24
ACC0055,Kiaan Comar,DEV4910,213.243.121.163,Nellore,PMF2200,666,0.052,household,HOUSE_6475c7,0,,household,2024-11-07
ACC0056,Radha Parekh,DEV5351,213.243.121.163,Nellore,PMF3170,608,0.076,household,HOUSE_6475c7,0,,household,2025-01-04
ACC0057,Adweta Mukherjee,DEV5669,199.138.33.46,Vellore,PMF9900,251,0.062,household,HOUSE_00de3a,0,,household,2025-12-27
ACC0058,Mitesh Sachdev,DEV7054,199.138.33.46,Vellore,PMF5905,716,0.076,household,HOUSE_00de3a,0,,household,2024-09-18
ACC0059,Aarna Vora,DEV5333,51.250.138.247,Tezpur,PMF5462,199,0.037,household,HOUSE_00398b,0,,household,2026-02-17
ACC0060,Saksham Keer,DEV2891,51.250.138.247,Tezpur,PMF4335,305,0.061,household,HOUSE_00398b,0,,household,2025-11-03
ACC0061,Netra Reddy,DEV1832,133.204.176.111,Phagwara,PMF1722,523,0.02,household,HOUSE_f803fd,0,,household,2025-03-30
ACC0062,Nisha Gala,DEV2512,133.204.176.111,Phagwara,PMF5291,223,0.03,household,HOUSE_f803fd,0,,household,2026-01-24
ACC0063,Harish Palla,DEV2512,133.204.176.111,Phagwara,PMF8007,542,0.054,household,HOUSE_f803fd,0,,household,2025-03-11
ACC0064,Anjali Sachdev,DEV2232,124.207.174.90,Cuttack,PMF3442,144,0.157,obvious,,1,RING_1fa94f,obvious,2026-04-13
ACC0065,Ekantika Oommen,DEV2232,124.207.174.90,Cuttack,PMF3442,99,0.267,obvious,,1,RING_1fa94f,obvious,2026-05-28
ACC0066,Gagan Rajagopalan,DEV2232,124.207.174.90,Cuttack,PMF3442,42,0.236,obvious,,1,RING_1fa94f,obvious,2026-07-24
ACC0067,Reyansh Mani,DEV2232,124.207.174.90,Cuttack,PMF3442,15,0.212,obvious,,1,RING_1fa94f,obvious,2026-08-20
ACC0068,Eesha Palla,DEV6862,14.248.3.153,Jhansi,PMF4441,179,0.2,obvious,,1,RING_0ad882,obvious,2026-03-09
ACC0069,Omaja Sengupta,DEV6862,14.248.3.153,Jhansi,PMF4441,31,0.221,obvious,,1,RING_0ad882,obvious,2026-08-04
ACC0070,Faraj Dugar,DEV6862,14.248.3.153,Jhansi,PMF4441,148,0.327,obvious,,1,RING_0ad882,obvious,2026-04-09
ACC0071,Kamala Kata,DEV6862,14.248.3.153,Jhansi,PMF4441,109,0.345,obvious,,1,RING_0ad882,obvious,2026-05-18
ACC0072,Gaurangi Patla,DEV4878,193.51.146.112,Katihar,PMF3662,50,0.326,obvious,,1,RING_7a74ef,obvious,2026-07-16
ACC0073,Karan Zacharia,DEV4878,193.51.146.112,Katihar,PMF3662,11,0.186,obvious,,1,RING_7a74ef,obvious,2026-08-24
ACC0074,Radhika Doshi,DEV4878,193.51.146.112,Katihar,PMF3662,90,0.306,obvious,,1,RING_7a74ef,obvious,2026-06-06
ACC0075,Lopa Modi,DEV4878,193.51.146.112,Katihar,PMF3662,110,0.31,obvious,,1,RING_7a74ef,obvious,2026-05-17
ACC0076,Darika Pau,DEV4878,193.51.146.112,Katihar,PMF3662,68,0.203,obvious,,1,RING_7a74ef,obvious,2026-06-28
ACC0077,Aradhana Prasad,DEV7267,205.102.192.12,Guna,PMF8541,125,0.194,moderate,,1,RING_6d455e,moderate,2026-05-02
ACC0078,Hiral Seshadri,DEV7267,132.1.123.103,Guna,PMF4728,94,0.211,moderate,,1,RING_6d455e,moderate,2026-06-02
ACC0079,Bachittar Dara,DEV7267,163.38.240.138,Guna,PMF4164,62,0.155,moderate,,1,RING_6d455e,moderate,2026-07-04
ACC0080,Aarav Mangal,DEV7267,93.50.92.242,Guna,PMF2137,107,0.216,moderate,,1,RING_6d455e,moderate,2026-05-20
ACC0081,Girindra Nagar,DEV6753,78.43.10.241,Machilipatnam,PMF9785,107,0.286,moderate,,1,RING_6cc490,moderate,2026-05-20
ACC0082,Anamika Walia,DEV6753,149.43.11.175,Machilipatnam,PMF2889,89,0.338,moderate,,1,RING_6cc490,moderate,2026-06-07
ACC0083,Wakeeta Purohit,DEV6753,170.0.113.146,Machilipatnam,PMF5349,71,0.186,moderate,,1,RING_6cc490,moderate,2026-06-25
ACC0084,Gunbir Murty,DEV6753,47.144.123.37,Machilipatnam,PMF8119,14,0.172,moderate,,1,RING_6cc490,moderate,2026-08-21
ACC0085,Dayamai Swaminathan,DEV6753,189.61.189.57,Machilipatnam,PMF6139,93,0.296,moderate,,1,RING_6cc490,moderate,2026-06-03
ACC0086,Farhan Tripathi,DEV6753,2.154.113.232,Machilipatnam,PMF9379,116,0.271,moderate,,1,RING_6cc490,moderate,2026-05-11
ACC0087,Aarav Vyas,DEV8144,156.11.92.247,Hajipur Sector 1,PMF4114,70,0.132,sneaky,,1,RING_a26078,sneaky,2026-06-26
ACC0088,Saanvi Sandal,DEV4228,89.196.255.252,Hajipur Sector 3,PMF4114,142,0.123,sneaky,,1,RING_a26078,sneaky,2026-04-15
ACC0089,Jackson Bora,DEV6143,220.168.237.167,Hajipur Sector 1,PMF4114,175,0.152,sneaky,,1,RING_a26078,sneaky,2026-03-13
ACC0090,Vanya Gade,DEV7691,132.184.110.238,Hajipur Sector 3,PMF4114,81,0.12,sneaky,,1,RING_a26078,sneaky,2026-06-15
ACC0091,Gunbir D’Alia,DEV7211,197.140.220.238,Rajahmundry Sector 2,PMF4143,112,0.142,sneaky,,1,RING_e6657c,sneaky,2026-05-15
ACC0092,Atharv Sarna,DEV1006,104.171.69.20,Rajahmundry Sector 3,PMF4143,82,0.109,sneaky,,1,RING_e6657c,sneaky,2026-06-14
ACC0093,Faras Balan,DEV6279,222.133.91.2,Rajahmundry Sector 4,PMF4143,115,0.124,sneaky,,1,RING_e6657c,sneaky,2026-05-12
ACC0094,Kevin Palla,DEV8752,174.214.149.132,Rajahmundry Sector 2,PMF4143,177,0.146,sneaky,,1,RING_e6657c,sneaky,2026-03-11
ACC0095,Chasmum Tella,DEV6491,151.31.54.210,Rajahmundry Sector 1,PMF4143,77,0.162,sneaky,,1,RING_e6657c,sneaky,2026-06-19
ACC0096,Alka Modi,DEV4680,170.125.96.235,Rajahmundry Sector 2,PMF4143,65,0.095,sneaky,,1,RING_e6657c,sneaky,2026-07-01
ACC0097,Mugdha Venkatesh,DEV2193,205.101.44.2,Dibrugarh,PMF8784,161,0.126,expert,,1,RING_2502f2,expert,2026-03-27
ACC0098,Reva Bhagat,DEV7291,211.56.112.3,Kavali,PMF8784,166,0.129,expert,,1,RING_2502f2,expert,2026-03-22
ACC0099,Anmol Sastry,DEV1090,218.117.221.210,Rohtak,PMF8784,67,0.169,expert,,1,RING_2502f2,expert,2026-06-29
ACC0100,Pranav Dani,DEV4585,40.252.134.165,Udaipur,PMF8784,32,0.098,expert,,1,RING_2502f2,expert,2026-08-03
ACC0101,Oliver Sule,DEV8611,111.149.61.180,Kanpur,PMF1822,560,0.053,normal,,0,,normal,2025-02-21
ACC0102,Eiravati Chadha,DEV8478,212.195.250.90,Secunderabad,PMF3184,154,0.068,normal,,0,,normal,2026-04-03
ACC0103,Arunima Menon,DEV9702,200.21.142.1,Kottayam,PMF6198,713,0.077,normal,,0,,normal,2024-09-21
ACC0104,Jalsa Chad,DEV9270,134.62.91.53,Anantapur,PMF7991,483,0.07,normal,,0,,normal,2025-05-09
ACC0105,Hardik Sama,DEV8305,198.58.221.233,Bhiwandi,PMF3607,591,0.065,normal,,0,,normal,2025-01-21
ACC0106,Wahab Shere,DEV8373,168.14.47.116,Siliguri,PMF5246,516,0.065,normal,,0,,normal,2025-04-06
ACC0107,Zinal Bhalla,DEV5543,221.0.93.27,Raiganj,PMF9540,682,0.049,normal,,0,,normal,2024-10-22
ACC0108,Rachana Golla,DEV5499,211.7.105.112,Karaikudi,PMF8206,274,0.025,normal,,0,,normal,2025-12-04
ACC0109,Anirudh Chadha,DEV4841,221.38.130.3,Durg,PMF5451,322,0.04,normal,,0,,normal,2025-10-17
ACC0110,Kritika Sarkar,DEV2320,200.119.139.211,Thoothukudi,PMF3267,583,0.029,normal,,0,,normal,2025-01-29
ACC0111,Yashvi Sachar,DEV3503,215.247.209.48,Ambarnath,PMF4505,422,0.024,normal,,0,,normal,2025-07-09
ACC0112,Fitan Narasimhan,DEV6421,193.141.9.8,Patna,PMF9890,447,0.048,normal,,0,,normal,2025-06-14
ACC0113,Gautam Ahluwalia,DEV4388,74.109.142.2,Sirsa,PMF7883,93,0.043,normal,,0,,normal,2026-06-03
ACC0114,Waida Mangal,DEV1320,150.134.46.6,Silchar,PMF7232,628,0.049,normal,,0,,normal,2024-12-15
ACC0115,Falguni Toor,DEV5892,150.184.220.108,Nanded,PMF7389,390,0.071,normal,,0,,normal,2025-08-10
ACC0116,Lekha Barad,DEV9818,145.7.30.214,Saharsa,PMF9947,459,0.068,normal,,0,,normal,2025-06-02
ACC0117,Christopher Narayan,DEV8999,132.20.233.241,Baranagar,PMF4595,255,0.036,normal,,0,,normal,2025-12-23
ACC0118,Amol Madan,DEV1475,72.103.132.90,Orai,PMF7371,527,0.04,normal,,0,,normal,2025-03-26
ACC0119,Eesha Comar,DEV7624,209.157.87.70,Gulbarga,PMF3704,725,0.07,normal,,0,,normal,2024-09-09
ACC0120,Tanish Sathe,DEV9751,144.15.207.237,Giridih,PMF1441,160,0.074,normal,,0,,normal,2026-03-28
ACC0121,Siddharth Cherian,DEV1444,211.122.104.209,Korba,PMF2375,636,0.059,normal,,0,,normal,2024-12-07
ACC0122,Tanish Barad,DEV8564,21.104.170.26,Tadipatri,PMF3977,168,0.023,normal,,0,,normal,2026-03-20
ACC0123,Madhavi Shanker,DEV6363,12.173.202.175,Siliguri,PMF4467,418,0.047,normal,,0,,normal,2025-07-13
ACC0124,Reva Ratti,DEV7211,64.152.62.188,Sri Ganganagar,PMF5558,375,0.065,normal,,0,,normal,2025-08-25
ACC0125,Anjali Pathak,DEV5133,53.154.26.0,Maheshtala,PMF2341,461,0.048,normal,,0,,normal,2025-05-31
ACC0126,Mohammed Kadakia,DEV1853,215.114.193.213,Sambalpur,PMF6733,582,0.033,normal,,0,,normal,2025-01-30
ACC0127,Nandini Cheema,DEV1659,97.235.229.234,Navi Mumbai,PMF1508,100,0.077,normal,,0,,normal,2026-05-27
ACC0128,Balvan Samra,DEV1333,150.215.208.113,Kolkata,PMF3496,234,0.034,normal,,0,,normal,2026-01-13
ACC0129,Ekbal Lalla,DEV2874,161.76.20.233,Malegaon,PMF4571,514,0.048,normal,,0,,normal,2025-04-08
ACC0130,Gautam Rajagopalan,DEV7043,216.61.40.100,Berhampur,PMF3749,292,0.056,normal,,0,,normal,2025-11-16
ACC0131,Brinda Shroff,DEV3683,41.159.253.17,Kottayam,PMF6096,147,0.026,normal,,0,,normal,2026-04-10
ACC0132,Chandresh Narasimhan,DEV6111,72.245.40.4,Ahmedabad,PMF7149,56,0.044,normal,,0,,normal,2026-07-10
ACC0133,Karan Saini,DEV2245,198.127.108.89,Guna,PMF4978,233,0.026,normal,,0,,normal,2026-01-14
ACC0134,Ojas Dubey,DEV2983,190.135.255.193,Avadi,PMF1672,338,0.041,normal,,0,,normal,2025-10-01
ACC0135,Shivansh Sarma,DEV7071,71.23.123.87,Pondicherry,PMF2129,468,0.05,normal,,0,,normal,2025-05-24
ACC0136,Gayathri Dayal,DEV1207,35.113.89.124,Dibrugarh,PMF7882,379,0.069,normal,,0,,normal,2025-08-21
ACC0137,Michael Varughese,DEV8102,192.78.29.170,Ambala,PMF6934,138,0.058,normal,,0,,normal,2026-04-19
ACC0138,Ishaan Banerjee,DEV3506,131.79.167.129,Bikaner,PMF8135,500,0.031,normal,,0,,normal,2025-04-22
ACC0139,Mugdha Ramanathan,DEV5425,220.132.131.79,Fatehpur,PMF9817,564,0.066,normal,,0,,normal,2025-02-17
ACC0140,Upkaar Das,DEV8136,18.128.224.148,Orai,PMF5397,506,0.039,normal,,0,,normal,2025-04-16
ACC0141,Lajita Gupta,DEV2419,29.223.12.120,Lucknow,PMF5569,281,0.073,normal,,0,,normal,2025-11-27
ACC0142,Warinder Lata,DEV8613,197.151.7.91,Gorakhpur,PMF7209,279,0.04,normal,,0,,normal,2025-11-29
ACC0143,Kala Rajagopal,DEV6325,44.149.229.12,Kadapa,PMF3979,536,0.049,normal,,0,,normal,2025-03-17
ACC0144,Ekavir Mittal,DEV5232,213.50.119.67,Kochi,PMF6576,393,0.037,normal,,0,,normal,2025-08-07
ACC0145,Geetika Ganesh,DEV5526,192.94.25.186,Tiruvottiyur,PMF1166,640,0.051,normal,,0,,normal,2024-12-03
ACC0146,Nihal Dugal,DEV2402,213.229.190.10,Pondicherry,PMF4954,225,0.063,normal,,0,,normal,2026-01-22
ACC0147,Damini Shan,DEV4937,190.155.61.209,Tadipatri,PMF8800,530,0.059,normal,,0,,normal,2025-03-23
ACC0148,Tarak Dora,DEV8342,195.221.168.153,Meerut,PMF1282,532,0.026,normal,,0,,normal,2025-03-21
ACC0149,Leena Kakar,DEV7625,218.244.110.148,Ratlam,PMF4986,256,0.038,normal,,0,,normal,2025-12-22
ACC0150,Rushil Balan,DEV7046,223.7.176.45,Gwalior,PMF8753,625,0.053,normal,,0,,normal,2024-12-18
ACC0151,Manthan Rastogi,DEV7971,221.119.239.46,Kumbakonam,PMF6419,382,0.041,normal,,0,,normal,2025-08-18
ACC0152,Ojasvi Pai,DEV5438,99.165.6.115,Katni,PMF6023,494,0.035,normal,,0,,normal,2025-04-28
ACC0153,Chaitanya Balakrishnan,DEV4155,207.176.30.78,Ghaziabad,PMF6169,153,0.027,normal,,0,,normal,2026-04-04
ACC0154,Aarna Dani,DEV4033,113.190.249.61,Junagadh,PMF4138,578,0.033,normal,,0,,normal,2025-02-03
ACC0155,Christopher Shetty,DEV5530,203.48.146.198,Dehri,PMF9595,525,0.056,normal,,0,,normal,2025-03-28
ACC0156,Rajata Gera,DEV4180,214.221.228.190,Gopalpur,PMF5853,132,0.034,normal,,0,,normal,2026-04-25
ACC0157,Reva Savant,DEV5952,206.112.38.192,Nandyal,PMF1231,213,0.062,normal,,0,,normal,2026-02-03
ACC0158,Yatin Das,DEV5494,6.143.74.20,Nizamabad,PMF1745,159,0.078,normal,,0,,normal,2026-03-29
ACC0159,Karan Sant,DEV5786,213.234.158.159,Srinagar,PMF3068,596,0.058,normal,,0,,normal,2025-01-16
ACC0160,Warda Wagle,DEV2680,178.116.211.165,Tezpur,PMF1200,532,0.054,normal,,0,,normal,2025-03-21
ACC0161,Triya Nadkarni,DEV8843,153.70.122.200,Darbhanga,PMF8216,510,0.04,normal,,0,,normal,2025-04-12
ACC0162,Amol Venkatesh,DEV5136,148.119.236.7,Purnia,PMF8827,82,0.027,normal,,0,,normal,2026-06-14
ACC0163,Yoshita Ravel,DEV7565,185.131.3.114,Kharagpur,PMF9056,96,0.024,normal,,0,,normal,2026-05-31
ACC0164,Upma Chopra,DEV1878,155.202.217.81,Raipur,PMF3485,674,0.029,normal,,0,,normal,2024-10-30
ACC0165,Amaira Dhar,DEV5978,155.155.139.0,Mango,PMF2395,606,0.08,normal,,0,,normal,2025-01-06
ACC0166,Yachana Kumar,DEV7818,33.203.132.113,Nagaon,PMF4697,151,0.067,normal,,0,,normal,2026-04-06
ACC0167,Utkarsh Goda,DEV8381,20.129.24.32,Tiruppur,PMF8253,419,0.038,normal,,0,,normal,2025-07-12
ACC0168,Chaaya Keer,DEV8025,46.152.139.20,Malda,PMF6003,632,0.054,normal,,0,,normal,2024-12-11
ACC0169,Wakeeta Sodhi,DEV2625,153.80.182.53,Kolhapur,PMF4404,91,0.058,normal,,0,,normal,2026-06-05
ACC0170,Madhavi Kannan,DEV2330,217.244.209.62,Lucknow,PMF3573,300,0.034,normal,,0,,normal,2025-11-08
ACC0171,Alexander Choudhry,DEV2229,210.34.221.181,Pondicherry,PMF3564,595,0.02,normal,,0,,normal,2025-01-17
ACC0172,Samesh Sharaf,DEV8699,158.212.182.216,Bareilly,PMF5771,491,0.022,normal,,0,,normal,2025-05-01
ACC0173,Vanya Karnik,DEV5632,221.152.131.42,Barasat,PMF8438,325,0.024,normal,,0,,normal,2025-10-14
ACC0174,Jagdish Khanna,DEV5334,162.187.203.240,Ichalkaranji,PMF4241,269,0.046,normal,,0,,normal,2025-12-09
ACC0175,Orinder Shere,DEV4683,79.167.191.233,Saharsa,PMF3441,587,0.075,normal,,0,,normal,2025-01-25
ACC0176,Raagini Gokhale,DEV2169,28.203.240.204,Avadi,PMF1977,175,0.03,normal,,0,,normal,2026-03-13
ACC0177,Manbir Jayaraman,DEV5728,215.35.131.56,Amravati,PMF8195,344,0.027,normal,,0,,normal,2025-09-25
ACC0178,Jagat Baria,DEV7594,143.81.3.122,Udaipur,PMF5460,341,0.05,normal,,0,,normal,2025-09-28
ACC0179,Ishita Om,DEV8172,13.75.78.153,Jabalpur,PMF2317,535,0.056,normal,,0,,normal,2025-03-18
ACC0180,Keya Bhasin,DEV6280,191.60.188.42,Latur,PMF5102,472,0.022,normal,,0,,normal,2025-05-20
ACC0181,Amol Bala,DEV1339,112.189.155.224,Gorakhpur,PMF5415,264,0.055,normal,,0,,normal,2025-12-14
ACC0182,Ekavir Dewan,DEV8708,50.255.19.165,Gandhidham,PMF9502,209,0.059,normal,,0,,normal,2026-02-07
ACC0183,Radhika Vig,DEV3973,183.99.196.255,Chapra,PMF8141,314,0.058,normal,,0,,normal,2025-10-25
ACC0184,Advay Kakar,DEV2494,158.219.55.137,Munger,PMF8700,533,0.041,normal,,0,,normal,2025-03-20
ACC0185,Hiral Sanghvi,DEV6260,154.6.140.162,Silchar,PMF2713,371,0.071,normal,,0,,normal,2025-08-29
ACC0186,Shaurya Deep,DEV7744,135.166.53.146,Vijayanagaram,PMF9117,367,0.037,normal,,0,,normal,2025-09-02
ACC0187,Samuel Cherian,DEV1601,204.63.212.52,Kochi,PMF8451,440,0.025,normal,,0,,normal,2025-06-21
ACC0188,Gautam Dube,DEV6296,35.108.177.134,Jamnagar,PMF2899,288,0.078,normal,,0,,normal,2025-11-20
ACC0189,Triveni Balakrishnan,DEV9431,72.24.33.110,Deoghar,PMF1018,443,0.059,normal,,0,,normal,2025-06-18
ACC0190,Meghana Sandhu,DEV8569,161.0.219.107,Kanpur,PMF7770,585,0.023,normal,,0,,normal,2025-01-27
ACC0191,Aarna Krishnamurthy,DEV6927,216.156.72.30,Bokaro,PMF9167,560,0.058,normal,,0,,normal,2025-02-21
ACC0192,Naveen Devan,DEV4335,90.180.179.89,Haldia,PMF5375,82,0.053,normal,,0,,normal,2026-06-14
ACC0193,Chatura Natt,DEV8178,38.80.1.5,Kollam,PMF8941,324,0.027,normal,,0,,normal,2025-10-15
ACC0194,Viraj Dave,DEV4920,209.167.31.44,Deoghar,PMF3594,675,0.039,normal,,0,,normal,2024-10-29
ACC0195,Naksh Prasad,DEV7684,99.87.225.234,Aizawl,PMF2527,44,0.033,normal,,0,,normal,2026-07-22
ACC0196,Karan Bhat,DEV8560,190.189.251.253,Jehanabad,PMF2924,146,0.059,normal,,0,,normal,2026-04-11
ACC0197,Yashoda Verma,DEV9165,199.139.151.53,Kolkata,PMF5781,187,0.051,normal,,0,,normal,2026-03-01
ACC0198,Anika Rajagopal,DEV7807,132.152.203.245,Bokaro,PMF8905,309,0.079,normal,,0,,normal,2025-10-30
ACC0199,Shivani Saraf,DEV8483,207.148.199.242,Mehsana,PMF3369,279,0.043,normal,,0,,normal,2025-11-29
ACC0200,Udant Barad,DEV9327,186.253.143.120,Dindigul,PMF3236,643,0.072,normal,,0,,normal,2024-11-30
ACC0201,Chanchal Murthy,DEV7798,29.20.143.229,Suryapet,PMF6568,312,0.076,normal,,0,,normal,2025-10-27
